respondent_id,party_id,V162313,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
64,Republican,75,30,85,80,70,100,40,60,85,80,40,50,80,60,100,30,60,85,100,85
65,Republican,50,50,50,50,50,50,50,50,50,50,15,50,40,50,50,50,40,50,50,50
66,Republican,60,50,60,70,50,85,15,60,85,0,60,50,50,70,50,0,85,0,100,60
67,Republican,50,30,70,40,70,85,60,30,70,50,15,70,50,70,70,0,85,NA,85,30
68,Independent,100,30,100,100,70,100,30,30,40,100,50,50,100,50,100,60,85,100,100,100
69,Republican,100,50,85,85,85,85,70,85,70,85,60,85,85,85,85,50,85,85,85,85
70,Democrat,30,85,70,70,60,85,70,85,70,50,70,70,50,100,30,60,85,50,50,50
71,Independent,0,70,30,30,50,50,15,85,40,70,70,50,50,100,50,50,100,70,50,85
72,Independent,60,15,85,60,60,100,30,85,70,85,60,50,85,70,85,15,85,100,70,70
73,Independent,60,50,40,50,50,50,40,50,50,50,50,50,50,60,50,50,70,50,50,50
74,Republican,50,50,30,0,70,NA,40,NA,85,70,85,30,70,NA,NA,NA,100,70,85,85
75,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Republican,50,60,40,60,70,70,30,60,70,30,50,40,70,70,70,50,50,15,70,60
77,Republican,80,30,80,NA,100,60,60,60,70,100,30,100,30,50,100,NA,30,100,100,100
78,Independent,70,15,60,60,60,70,60,30,40,85,30,60,70,60,70,40,60,70,85,85
79,Independent,60,50,60,70,30,70,30,50,60,85,15,50,60,100,85,40,85,85,85,70
80,Independent,40,70,40,60,70,85,40,60,70,85,40,70,70,85,85,70,70,85,70,40
81,Democrat,50,70,60,40,50,50,85,70,85,50,50,100,50,100,100,70,70,50,60,30
82,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Republican,85,85,50,85,50,85,50,0,50,50,40,50,50,100,50,50,50,50,50,100
85,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Republican,50,100,50,100,50,50,50,40,50,85,50,85,50,100,50,15,100,50,100,50
87,Independent,40,50,40,40,60,50,30,50,40,50,50,50,50,85,50,50,70,50,50,40
88,Democrat,40,50,50,60,30,70,40,60,60,50,40,50,50,70,60,50,70,40,70,50
89,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,Democrat,15,85,40,40,70,70,40,85,70,60,60,70,85,100,85,50,100,50,70,40
92,Republican,60,30,70,70,60,60,40,30,60,70,40,40,60,50,70,15,60,70,70,40
93,Republican,40,30,60,70,50,50,40,15,70,50,30,50,40,50,50,30,60,50,50,40
94,Independent,40,85,70,70,60,60,60,70,70,60,60,60,70,85,60,50,85,50,70,60
95,Republican,80,35,95,90,50,100,15,40,60,100,65,50,100,50,80,0,95,100,100,95
96,Democrat,NA,0,15,0,0,50,30,30,NA,0,30,60,0,50,100,15,80,0,50,15
97,Republican,NA,50,50,50,50,70,85,50,100,50,40,100,50,50,50,85,55,NA,50,85
98,Independent,50,40,60,70,50,60,50,60,60,60,40,40,50,60,60,30,50,60,70,50
99,Democrat,40,40,85,70,85,85,70,60,70,85,50,70,70,70,85,40,85,85,85,85
100,Independent,50,40,100,60,50,70,0,40,50,50,NA,50,60,40,60,50,50,50,50,100
101,Independent,70,70,30,30,60,60,50,60,70,15,60,50,50,100,50,40,100,15,50,70
102,Independent,0,50,15,50,50,50,50,50,70,50,40,50,15,50,50,50,100,50,50,0
103,Independent,70,70,60,70,60,70,60,60,60,50,40,60,60,85,85,70,70,50,85,50
104,Independent,15,40,50,30,30,60,40,60,60,50,30,50,40,85,50,15,60,50,70,30
105,Independent,50,50,50,50,50,60,50,50,50,50,50,50,50,60,50,50,50,50,60,50
106,Republican,85,60,50,70,85,70,60,50,40,50,40,60,60,60,85,50,40,70,100,70
107,Independent,30,50,85,15,40,85,50,60,40,85,60,60,15,100,85,70,100,50,100,0
108,Republican,70,50,85,70,100,100,70,60,85,85,70,85,85,85,85,50,100,70,100,85
109,Republican,0,50,50,50,85,100,50,50,50,100,50,30,50,100,50,50,100,100,70,70
